사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-10,2호선,0235,문래,10,0,"4,121","2,029","12,834","10,949","41,459","32,706","47,933","114,248","28,052","59,437","21,045","27,726","21,451","23,667","25,387","25,061","25,788","26,507","25,725","25,110","28,510","26,863","33,936","30,644","55,160","39,126","99,361","56,459","36,489","39,776","25,814","21,955","25,946","19,359","21,339","17,655","10,320","11,065","1,580","3,256",1,99,0,1,0,0,2022-11-03 10:23:13
2022-10,2호선,0236,영등포구청,54,3,"5,552","3,763","12,547","15,715","36,656","34,429","46,770","115,575","29,021","53,753","23,096","27,691","24,254","25,851","27,179","26,416","28,261","27,840","29,525","26,155","31,300","27,106","37,578","31,126","52,777","37,435","97,190","53,151","35,782","35,781","26,243","21,741","24,852","20,315","18,378","18,315","8,363","12,532","1,303","4,017",3,152,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0237,당산,29,7,"6,711","3,152","16,504","13,309","42,825","27,882","54,372","72,310","35,607","35,686","26,037","20,405","24,828","19,012","25,987","21,977","25,129","24,260","22,875","24,707","24,550","28,601","29,615","36,094","41,855","50,020","57,879","74,697","27,069","51,481","22,352","33,255","21,572","32,599","18,458","29,753","8,659","20,538","1,182","4,905",4,158,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0238,합정,108,7,"10,514","3,054","18,352","14,356","41,504","32,227","54,311","90,135","37,370","84,071","29,095","53,624","30,824","51,899","37,051","55,699","41,422","62,747","44,613","56,809","48,925","58,476","58,025","67,324","75,293","85,061","112,517","113,719","77,423","77,814","64,164","42,673","68,167","35,379","64,990","30,323","34,048","20,671","5,272","6,914",3,198,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0239,홍대입구,"1,352",26,"31,546","4,155","33,471","18,230","62,343","37,203","80,837","103,458","60,595","134,015","53,290","101,210","59,126","116,020","70,403","138,907","84,149","152,655","91,893","142,747","113,773","144,497","142,367","156,110","167,435","186,404","193,033","229,914","151,479","167,885","148,611","99,102","172,770","80,067","172,290","67,464","90,259","47,392","10,937","16,020",2,"1,717",0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0240,신촌,105,1,"8,240","3,250","15,338","18,835","35,751","38,217","54,378","85,575","39,990","96,711","38,728","72,292","46,929","66,118","61,446","70,117","64,583","76,382","65,818","67,471","75,348","62,388","89,495","67,378","105,275","86,539","102,024","112,774","70,275","76,090","71,813","44,126","75,267","39,487","72,978","35,374","36,337","24,900","5,726","6,028",1,70,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0241,이대,44,1,"3,484","1,111","8,254","7,553","24,667","15,069","34,974","41,259","21,686","46,417","18,129","38,750","20,531","26,715","27,950","30,189","28,117","33,595","27,862","25,106","34,274","25,941","38,865","27,143","47,536","33,382","42,609","42,847","24,831","30,741","21,996","20,663","22,765","20,506","17,358","20,499","6,852","15,286",823,"3,721",1,47,1,1,0,0,2022-11-03 10:23:13
2022-10,2호선,0242,아현,42,1,"4,875",878,"10,243","6,448","28,023","12,083","38,654","23,832","24,135","13,968","17,608","11,438","16,741","10,500","18,269","12,578","17,071","14,180","15,946","15,060","17,040","16,558","23,884","18,257","21,353","23,763","20,464","32,605","12,454","23,919","9,050","16,500","7,181","16,287","5,043","14,490","2,122","9,157",342,"2,401",1,11,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0243,충정로(경기대입구),53,3,"3,141","1,094","6,579","7,204","14,922","20,523","21,315","57,298","14,814","26,735","11,137","14,367","11,996","11,760","12,948","11,637","13,911","13,721","14,068","12,467","14,525","12,431","18,242","13,761","28,264","16,928","44,791","21,633","14,920","14,766","9,749","10,141","9,287","9,806","6,771","9,167","3,262","6,440",619,"1,822",3,40,0,1,0,0,2022-11-03 10:23:13
2022-10,2호선,0244,용답,5,1,"2,555",262,"3,205","1,364","7,967","1,895","13,239","4,276","7,248","6,699","4,992","4,005","4,559","3,147","5,176","3,449","5,002","4,305","4,560","3,752","4,970","4,605","6,887","6,080","6,013","6,910","4,324","10,691","2,503","7,172","2,026","4,925","1,521","5,526","1,232","5,171",563,"3,650",84,866,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0245,신답,8,0,"1,145",151,"1,855",530,"6,048","1,029","11,112","1,736","4,899","1,042","2,622","1,104","2,173","1,262","2,446","1,556","2,069","1,750","1,987","2,044","2,007","2,685","2,103","3,611","2,241","4,454","2,097","9,573","1,104","6,453",708,"3,468",539,"3,892",501,"3,079",202,"2,223",31,544,1,4,0,0,0,0,2022-11-03 10:23:13
